Node,p = 0.2,p = 0.5,p = 0.8
ENSG00000166532,9.700940572065114e-08,2.8215789244979605e-06,2.2022419160360982e-05
ENSG00000155465,8.689151947518776e-07,5.6492537212933855e-06,2.0164578369698507e-05
ENSG00000048052,6.602040319915674e-09,3.7022956702163843e-07,6.183655695110604e-06
ENSG00000104413,4.402328044143846e-08,1.2647895297590548e-06,1.2595310854939692e-05
ENSG00000154229,8.321352823681141e-09,4.792992569523659e-07,8.02791012124109e-06
ENSG00000103496,6.911839853303492e-08,1.4299919123604356e-06,1.1966320510354096e-05
ENSG00000172794,2.1339171465161507e-07,5.959765503066592e-06,3.180193292866087e-05
ENSG00000213160,3.0405627133629074e-08,1.5256809690107484e-06,1.6618229886306296e-05
ENSG00000180318,3.8283274265109164e-08,1.2588407128691723e-06,1.2408207698335792e-05
ENSG00000166069,4.488780335086689e-07,6.0229652340303565e-06,2.4783057097023855e-05
ENSG00000108298,6.970445403355909e-09,4.783545114048039e-07,7.1376894598857375e-06
ENSG00000186442,8.074538628647256e-08,3.3552530821516788e-06,3.13959189792696e-05
ENSG00000181072,1.0672648451606984e-06,1.38996709218355e-05,5.517915512760421e-05
ENSG00000198496,7.876788432270131e-09,4.856721856398443e-07,8.574497687208681e-06
ENSG00000138468,4.661208833740486e-08,1.6287296031039692e-06,1.4147848898240022e-05
ENSG00000066027,2.459729258813051e-09,3.151478677257461e-07,7.451371035912824e-06
ENSG00000177156,2.5695156517774415e-08,1.435725504799046e-06,1.5899540122656163e-05
ENSG00000101349,2.7026368973397e-09,2.8384167291669543e-07,6.603041655104896e-06
ENSG00000126500,3.820923243700178e-08,9.08763169622808e-07,9.196140296582768e-06
ENSG00000096654,3.060108393917742e-09,1.906507832970891e-07,4.832204514119151e-06
ENSG00000180879,3.333244082312102e-07,4.864911799146838e-06,2.3793373480167563e-05
ENSG00000167986,2.9593458409596104e-06,1.7681617887913647e-05,4.744313873474775e-05
ENSG00000134419,3.267074014111354e-08,7.015333580029082e-07,7.03427181271663e-06
ENSG00000249242,4.1386698055897684e-08,1.2390165112084802e-06,1.1995782776650895e-05
ENSG00000170734,5.805833374417353e-08,1.942622642040105e-06,1.6159280756386166e-05
ENSG00000160216,1.6434973681972834e-08,7.388533159078426e-07,9.015546666573157e-06
ENSG00000166455,1.898437156292044e-08,8.53337142702013e-07,1.0204533572079528e-05
ENSG00000136877,5.284859461122695e-08,1.060744337197852e-06,9.972233790428821e-06
ENSG00000198216,1.9491559802804583e-09,3.257356933119161e-07,7.859409936888677e-06
ENSG00000132155,5.30158775504478e-09,3.5850794411468594e-07,6.725898707805995e-06
ENSG00000189298,2.57725926334799e-08,7.200986259464627e-07,7.327253951392162e-06
ENSG00000171227,1.6702069450691377e-09,2.2570132597141844e-07,6.042396826474667e-06
ENSG00000158169,1.2258836513287747e-08,6.102795519574417e-07,8.586272693277066e-06
ENSG00000189037,1.4219968232604945e-07,4.404136679456677e-06,2.6609195118002412e-05
ENSG00000170222,2.6492605186652264e-08,6.695401774996285e-07,7.810131766299196e-06
ENSG00000012124,2.0709100958725672e-08,9.87653931900466e-07,1.2125872238868755e-05
ENSG00000125898,4.483622006417531e-08,1.7735644094194224e-06,1.646803217667654e-05
ENSG00000008256,1.4163183862411566e-07,2.5889497693438923e-06,1.735863278749164e-05
ENSG00000123505,3.519147301064603e-08,1.1955984467152119e-06,1.2113220613210094e-05
ENSG00000067704,7.130859232949625e-08,1.4599379559681933e-06,1.1608312055536037e-05
ENSG00000115828,1.3826538167780164e-06,1.810742082630196e-05,6.947449365302616e-05
ENSG00000102312,5.643827327949535e-09,4.2165689297323035e-07,7.697860112765329e-06
ENSG00000168175,4.691157660034013e-09,4.706193423247921e-07,8.348526136633424e-06
ENSG00000118777,1.6985074895225056e-08,7.71343008770301e-07,9.779717505688994e-06
ENSG00000186265,8.874845661217988e-09,6.433171159191664e-07,9.98588871728302e-06
ENSG00000162714,5.261245177167709e-08,2.7078446989714924e-06,2.629007469794789e-05
ENSG00000115295,1.0088632013082677e-06,1.2457477953143307e-05,4.692968193875021e-05
ENSG00000158445,1.803541626142911e-08,6.218740944602043e-07,7.975791723117595e-06
ENSG00000092199,9.463302268774667e-08,1.625917961849518e-06,1.1715385550101201e-05
ENSG00000105639,1.0108842747562018e-07,2.4267720019628623e-06,1.764361457719979e-05
ENSG00000144567,3.328081129141173e-08,1.4526214772733491e-06,1.4345743676549343e-05
ENSG00000147488,1.5049456791419614e-07,2.8359478720640004e-06,2.0630210952675335e-05
ENSG00000019991,4.302492909811032e-09,4.021904157456323e-07,7.917867193485014e-06
ENSG00000163013,6.658580830673884e-08,1.4842557284788365e-06,1.2402000354632787e-05
ENSG00000112715,7.847048642934507e-07,1.0298318684823709e-05,3.9625020220319594e-05
ENSG00000265241,1.0431788099945893e-08,6.450314971065623e-07,9.72932665558275e-06
ENSG00000005238,8.45735641058348e-08,2.324213825118874e-06,1.9910649101750615e-05
ENSG00000160862,5.265626742275878e-08,1.1749844001421325e-06,1.1100115875711765e-05
ENSG00000152953,1.3500382121687422e-06,1.6680355431670793e-05,5.554941696656522e-05
ENSG00000167460,4.5525693061613547e-07,6.6313325438751285e-06,2.9875940145341207e-05
ENSG00000133687,2.161588644688872e-07,3.793980088398886e-06,2.230968036948383e-05
ENSG00000133835,5.06785992792248e-08,1.3118814311380606e-06,1.2429663897869487e-05
ENSG00000102678,9.86158687092712e-08,1.6543313127316531e-06,1.1367643294846914e-05
ENSG00000197893,9.538539140214888e-08,2.1888977464004492e-06,1.5980096092286285e-05
ENSG00000197586,2.520330713369047e-09,3.3505931327597925e-07,7.70681036882907e-06
ENSG00000079263,4.2151378603001286e-08,1.3697073822324037e-06,1.3399046371809106e-05
ENSG00000136636,9.246019325880708e-09,7.761755001180639e-07,1.0879745603590916e-05
ENSG00000154945,1.9936724433963784e-08,8.657032431907036e-07,1.0097779429358954e-05
ENSG00000135960,3.7160377886334006e-08,1.3604698534703825e-06,1.3732834842286525e-05
ENSG00000149179,2.90205797898266e-08,1.3563104105498738e-06,1.4846401955490188e-05
ENSG00000283024,5.986328055750047e-08,1.3041225973731564e-06,1.194002177031601e-05
ENSG00000129219,1.5005779736060292e-09,2.1245323117936547e-07,5.957945640499945e-06
ENSG00000122971,9.644375254302852e-08,3.221497873137895e-06,2.3445853292662223e-05
ENSG00000198959,4.0113569133979684e-08,1.217037910100418e-06,1.2685367735813627e-05
ENSG00000185960,1.6448722178171615e-08,6.532061956273345e-07,8.159561280067116e-06
ENSG00000168427,5.184166609073178e-09,5.241700908917913e-07,9.933991672498494e-06
ENSG00000135925,1.1856937066861166e-08,5.788837179483526e-07,8.295857964659004e-06
ENSG00000186439,9.202794905790004e-08,1.5164231137622088e-06,1.0313802600856385e-05
ENSG00000138449,5.718033932781321e-08,2.2474132175239003e-06,2.243755145375704e-05
ENSG00000117410,1.7508774285711325e-07,2.5528368176822228e-06,1.5136889411173017e-05
ENSG00000132329,2.6780111007949812e-08,1.1070504102312132e-06,1.1737684417545695e-05
ENSG00000074803,1.3334163039562405e-08,6.937337303519935e-07,9.614840744673906e-06
ENSG00000263639,1.571744883900859e-08,9.0655351413439e-07,1.2259585181845085e-05
ENSG00000130303,6.849509443566464e-08,1.6529231103419136e-06,1.380222913734349e-05
ENSG00000005020,2.067800958040159e-09,2.444029779968876e-07,6.1471612962e-06
ENSG00000077348,4.445213823263773e-06,2.442993116990971e-05,5.871322831345103e-05
ENSG00000043591,2.1239046074938507e-07,3.3511343374496414e-06,1.8954971445475984e-05
ENSG00000076382,5.13509108108831e-08,1.172948171329391e-06,1.098189886830496e-05
ENSG00000069248,7.632442932761392e-08,1.7321803284012286e-06,1.3890433289482583e-05
ENSG00000064225,9.975235629111391e-09,6.374911328993437e-07,9.388116273160725e-06
ENSG00000077684,2.256732489667798e-09,2.399296210801058e-07,5.788342184155819e-06
ENSG00000166589,2.6721394278445887e-08,1.1009557409687402e-06,1.22106414810572e-05
ENSG00000139567,1.843477979332282e-08,8.252602197543534e-07,1.0221456262265229e-05
ENSG00000071243,1.8969565969794915e-08,8.492305929421273e-07,1.0063517831445116e-05
ENSG00000164105,0.00010569620062368493,0.00045824319067974803,0.0006945443755250721
ENSG00000236271,1.2775980314344053e-07,2.5021130081124766e-06,1.7139289850298304e-05
ENSG00000166881,3.6341844861099106e-08,1.0766830869294423e-06,1.121420122250222e-05
